MRT.STATIONS,POSTAL.CODE,Longtitude,Latitude
ADMIRALTY MRT STATION,738344,103.800988,1.440585001
ALJUNIED MRT STATION,388310,103.882906,1.316432612
ANG MO KIO MRT STATION,569811,103.8495581,1.369933175
BARTLEY MRT STATION,539788,103.8801779,1.342501178
BAYFRONT MRT STATION,18957,103.8590798,1.281873789
BEAUTY WORLD MRT STATION,588216,103.7757943,1.341223211
BEDOK MRT STATION,467347,103.9299845,1.323979969
BEDOK NORTH MRT STATION,479481,103.9179783,1.334742117
BEDOK RESERVOIR MRT STATION,469724,103.9322346,1.33660783
BENCOOLEN MRT STATION,189658,103.8503538,1.298918434
BENDEMEER MRT STATION,339356,103.8629776,1.313672528
BISHAN MRT STATION,579827,103.848144,1.350838988
BOON KENG MRT STATION,328260,103.8615695,1.319335709
BOON LAY MRT STATION,649846,103.7060646,1.338604055
BOTANIC GARDENS MRT STATION,257494,103.8149845,1.322113736
BRADDELL MRT STATION,319756,103.8467991,1.340469001
BRAS BASAH MRT STATION,189561,103.8506674,1.296861686
BUANGKOK MRT STATION,545061,103.8931216,1.382877858
BUGIS MRT STATION,188022,103.8557064,1.300465076
BUKIT BATOK MRT STATION,659958,103.7495668,1.349034109
BUKIT GOMBAK MRT STATION,659083,103.7517909,1.358611591
BUKIT PANJANG MRT STATION,678213,103.7615351,1.379002116
BUONA VISTA MRT STATION,139345,103.7902535,1.307223708
CALDECOTT MRT STATION,298113,103.8395298,1.337674508
CASHEW MRT STATION,679696,103.7644392,1.369815449
CHANGI AIRPORT MRT STATION,819661,103.9878836,1.357478974
CHINATOWN MRT STATION,59443,103.8434268,1.284359578
CHINESE GARDEN MRT STATION,609959,103.7325967,1.342352821
CHOA CHU KANG MRT STATION,689810,103.7443708,1.385363165
CITY HALL MRT STATION,179100,103.8525859,1.292936242
CLARKE QUAY MRT STATION,59815,103.8465552,1.288386024
CLEMENTI MRT STATION,129580,103.7651824,1.315201264
COMMONWEALTH MRT STATION,149735,103.7982261,1.302508537
DAKOTA MRT STATION,397973,103.8890647,1.308547984
DHOBY GHAUT MRT STATION,238826,103.8461152,1.298701306
DOVER MRT STATION,138677,103.7786378,1.311405293
DOWNTOWN MRT STATION,18969,103.8528404,1.27944619
